index,Country,Confirmed,Confirmed_pc,Deaths,Deaths_pc,Death_rate,Recovered,Recovered_pc,Recovered_rate,Active,Active_pc,Tested,Tested_pc,Tested_rate,Population
53,Eswatini,5482,4774.708156633421,109,94.93673642339346,1.988325428675666,4912,4278.2499936854,89.60233491426487,461.0,401.5214265246274,0,0,0,1148133
54,Ethiopia,75368,672.4558889752558,1198,10.688915123027762,1.589534019743127,31204,278.4114419857749,41.40218660439444,42966.0,383.35553186645313,1272352.0,11352.305955437912,5.923518020170518,112078727
55,Fiji,32,35.956874223977614,2,2.247304638998601,6.25,28,31.46226494598041,87.5,2.0,2.247304638998601,0,0,0,889955
56,Finland,9992,1806.166453278006,344,62.18187148995537,3.4427542033626897,8100,1464.1661600832515,81.0648518815052,1548.0,279.81842170479916,1049050.0,189627.59385621417,0.9524808159763596,5532159
57,French Guiana,9955,34230.442571598534,66,226.94216069568088,0.6629834254143646,9589,32971.9451350134,96.3234555499749,300.0,1031.5552758894585,0,0,0,290823
58,French Polynesia,1852,6631.219005675206,7,25.06400272123458,0.3779697624190065,1504,5385.180013248116,81.20950323974083,341.0,1220.974989705856,0,0,0,279285
59,Guadeloupe,5528,13818.341798984122,57,142.4829020517538,1.0311143270622287,2199,5496.8403791545015,39.77930535455861,3272.0,8179.018517777867,0,0,0,400048
60,Martinique,1543,4108.564079487269,21,55.9169446981417,1.3609850939727801,98,260.94574192466126,6.351263771872976,1424.0,3791.7013928644656,0,0,0,375557
61,Mayotte,3779,14198.600053352773,42,157.80396989701413,1.1114051336332362,2964,11136.451589874998,78.43344800211696,773.0,2904.34449358076,0,0,0,266153
62,New Caledonia,27,95.48835218933573,0,0.0,0.0,27,95.48835218933573,100.0,0.0,0.0,0,0,0,282757
63,Reunion,3993,4491.907142503588,16,17.999127042338447,0.4007012271475081,2819,3171.2211957720046,70.59854745805158,1158.0,1302.6868196892449,0,0,0,888932
64,Saint Barthelemy,48,4871.61270678981,0,0.0,0.0,25,2537.2982847863595,52.083333333333336,23.0,2334.3144220034505,0,0,0,9853
65,Saint Pierre and Miquelon,16,2748.668613640268,0,0.0,0.0,6,1030.7507301151006,37.5,10.0,1717.9178835251676,0,0,0,5821
66,St Martin,383,10078.416925424977,8,210.5152360402084,2.088772845953003,273,7183.832429872112,71.27937336814621,102.0,2684.069259512657,0,0,0,38002
67,France,576907,8857.813338734655,31769,487.7803042054633,5.50678012227274,79128,1214.9290160587334,13.715902216475099,464984.0,7139.350844240397,6339637.362637362,97338.60811796323,9.1,65129731
68,Gabon,8766,4034.837874635571,54,24.855264114798178,0.6160164271047228,8005,3684.562763684434,91.31873146246863,707.0,325.4198468363391,0,0,0,2172578
69,Gambia,3579,1524.4733560052068,112,47.706346988707224,3.1293657446214027,2161,920.4769271660385,60.37999441184688,1306.0,556.2900818504611,0,0,0,2347696
70,Georgia,6192,1549.2541212111205,39,9.757899019256088,0.6298449612403101,3120,780.631921540487,50.3875968992248,3033.0,758.8643006513773,0,0,0,3996762
71,Ghana,46626,1532.8495517337217,301,9.895502832579467,0.6455625616608759,45757,1504.2808076755439,98.13623300304552,568.0,18.673241225598463,479104.0,15750.747472093532,9.731916243654823,30417858
72,Greece,18475,1763.983832646581,391,37.33248598456364,2.1163734776725307,1347,128.61089161434072,7.290933694181326,16737.0,1598.0404550476767,1307549.0,124844.12971005167,1.412948960230171,10473452
73,Grenada,24,214.2818878234317,0,0.0,0.0,24,214.2818878234317,100.0,0.0,0.0,0,0,0,112002
74,Guatemala,91746,5218.33320478895,3246,184.62613719121194,3.538028905892355,80256,4564.804456690667,87.47629324439212,8244.0,468.90261090707065,0,0,0,17581476
75,Guinea,10652,834.0611401581334,66,5.167859111006083,0.6196019526849418,9996,782.6957526305578,93.84153210664664,590.0,46.19752841656953,0,0,0,12771246
76,Guinea-Bissau,2324,1209.8388425944484,39,20.302803296550554,1.6781411359724614,1549,806.385700162995,66.65232358003442,736.0,383.15033913490277,0,0,0,1920917
77,Guyana,2894,3697.1032544473187,80,102.20050461499153,2.7643400138217,1680,2146.2105969148224,58.051140290255695,1134.0,1448.692152917505,0,0,0,782775
78,Haiti,8766,778.2951713292609,229,20.33191811937038,2.6123659593885464,6829,606.3173311667263,77.90326260552133,1708.0,151.64592204316423,0,0,0,11263079
79,Holy See,12,14723.926380368099,0,0.0,0.0,12,14723.926380368099,100.0,0.0,0.0,0,0,0,815
80,Honduras,76900,7890.323477611336,2353,241.4295337167682,3.059817945383615,27922,2864.936438775861,36.30949284785436,46625.0,4783.957505118707,0,0,0,9746115
81,Hungary,26461,2732.2534146714193,765,78.99073588389085,2.891047201541892,5890,608.1770383740093,22.259173878538228,19806.0,2045.085640413519,727649.0,75134.02611134286,3.6365060626758234,9684680
82,Iceland,2728,8046.319428262993,10,29.495305822078418,0.36656891495601174,2167,6391.632771644393,79.43548387096774,551.0,1625.1913507965207,128457.0,378887.8499986727,2.1236678421572974,339037
83,Indonesia,287008,1060.5354223608888,10740,39.685829092415354,3.7420559705652807,214947,794.2597677772256,74.89233749581892,61321.0,226.58982549124784,2023990.0,7478.931212733496,14.180307214956594,270625567
84,Iran,457219,5514.383458029163,26169,315.616587922123,5.723515426961696,380956,4594.597916177931,83.32024697136383,50094.0,604.168953929108,4014821.0,48421.571521192476,11.388278580788533,82913893
85,Iraq,362981,9233.857754871184,9181,233.55505673154337,2.529333491284668,292197,7433.186680294824,80.49925478193073,61603.0,1567.1160178448172,0,0,0,39309789
86,Ireland,36155,7405.020954437667,1804,369.4829982521242,4.989627990596045,23364,4785.255416387267,64.62176739040243,10987.0,2250.2825397982756,1180984.0,241881.1026650702,3.0614301294513724,4882498
87,Israel,245494,28815.970377162732,1569,184.16848282144707,0.6391194896820289,174506,20483.432290146236,71.0836110047496,69419.0,8148.369604195051,3493433.0,410057.52418634563,7.027299507390008,8519373
88,Jamaica,6482,2198.5722508434587,107,36.29238365323204,1.650725084850355,1867,633.2512175755535,28.802838630052452,4508.0,1529.0286496146732,0,0,0,2948277
